company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
1736,1973000.0,1973000.0,1973000.0,1973000.0,1973000.0,1973000.0,2973000.0,2973000.0,2973000.0,2973000.0,2973000.0,3693000.0,4440900.0,4440900.0,4440900.0,4440900.0,4440900.0,4440900.0
1737,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,540888.0,7540888.0,7540888.0
1738,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0,4020000.0
1739,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,9000000.0,9000000.0,9000000.0,9000000.0,28000000.0,28000000.0,48000000.0,48000000.0,48000000.0
1740,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,123045.0,1292375.0,2195029.0
1741,435000.0,435000.0,435000.0,435000.0,435000.0,435000.0,435000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0,4935000.0
1742,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
1743,700000.0,700000.0,700000.0,700000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0
1744,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,2431000.0,2431000.0,2431000.0,2431000.0,8879822.0,8879822.0,8879822.0,8879822.0,8879822.0,8879822.0
1745,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,35000000.0,35000000.0,35000000.0,35000000.0
1746,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0,2020000.0
1747,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
1748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
1750,230496.0,230496.0,230496.0,230496.0,230496.0,230496.0,230496.0,230496.0,764976.0,764976.0,764976.0,764976.0,764976.0,764976.0,764976.0,764976.0,764976.0,764976.0
1751,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,9300000.0,9300000.0,9300000.0,9300000.0,18300000.0,18300000.0,27400000.0,27400000.0,27400000.0,27400000.0,32400000.0
1752,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0
1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0,1383400.0
1754,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0
1755,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,5157425.0,6657425.0,6657425.0,6657425.0,24157425.0,24372425.0,26872425.0,29872425.0
1756,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
1757,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,6000000.0,6000000.0,6000000.0,6000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,35000000.0,35000000.0,35000000.0
1758,799998.0,799998.0,5999998.0,5999998.0,5999998.0,5999998.0,5999998.0,5999998.0,6249998.0,6249998.0,6249998.0,6249998.0,6249998.0,6249998.0,6249998.0,6249998.0,7966863.0,7966863.0
1759,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750000.0,4750000.0,4750000.0,5675000.0,5675000.0,5675000.0,5675000.0,5675000.0
1761,15000.0,15000.0,15000.0,15000.0,15000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,1065000.0,1065000.0,1065000.0,1065000.0,1065000.0,1065000.0,1065000.0
1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0
1763,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0
1764,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,30000000.0,30000000.0,30000000.0,41000000.0,41000000.0,84000000.0
1765,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,10460297.0,13513347.0,13513347.0,13513347.0,16523862.0,26523862.0,26523862.0,26523862.0,26523862.0
1766,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0,1025000.0
1767,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0,636213.0
1768,2375000.0,2375000.0,2375000.0,7374999.0,7374999.0,7374999.0,7374999.0,7374999.0,7374999.0,21474999.0,21474999.0,21474999.0,21474999.0,21474999.0,21474999.0,31474999.0,31474999.0,49474999.0
1769,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,814234.0,1322234.0,1322234.0
1770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920529.0,3920529.0,3920529.0,3920529.0,11920529.0,11920529.0,23920529.0
1771,12000.0,12000.0,12000.0,12000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0,432000.0
